2026-01-05 20:42:45,RH-3CRH4018-D,0(Comm),5000(Mon),0(Msg#1),0(Msg#2),0(Msg#3),0(Msg#4),0(IN),0(Out)
????,????,?o??,?d??FB J1,?d??FB J2,?d??FB J3,?d??FB J4,?d??FB J5,?d??FB J6,?d??FB J7,?d??FB J8,?d??MAX(???2?b) J1,?d??MAX(???2?b) J2,?d??MAX(???2?b) J3,?d??MAX(???2?b) J4,?d??MAX(???2?b) J5,?d??MAX(???2?b) J6,?d??MAX(???2?b) J7,?d??MAX(???2?b) J8,?d??MAX(?d????????) J1,?d??MAX(?d????????) J2,?d??MAX(?d????????) J3,?d??MAX(?d????????) J4,?d??MAX(?d????????) J5,?d??MAX(?d????????) J6,?d??MAX(?d????????) J7,?d??MAX(?d????????) J8,???? J1,???? J2,???? J3,???? J4,???? J5,???? J6,???? J7,???? J8,????MAX J1,????MAX J2,????MAX J3,????MAX J4,????MAX J5,????MAX J6,????MAX J7,????MAX J8,??uFB J1,??uFB J2,??uFB J3,??uFB J4,??uFB J5,??uFB J6,??uFB J7,??uFB J8,???(?w??l) J1,???(?w??l) J2,???(?w??l) J3,???(?w??l) J4,???(?w??l) J5,???(?w??l) J6,???(?w??l) J7,???(?w??l) J8,????(?w??l) X,????(?w??l) Y,????(?w??l) Z,????(?w??l) A,????(?w??l) B,????(?w??l) C,????(?w??l) L1,????(?w??l) L2,????(?w??l) FL1,????(?w??l) FL2,??u?h???[?v J1,??u?h???[?v J2,??u?h???[?v J3,??u?h???[?v J4,??u?h???[?v J5,??u?h???[?v J6,??u?h???[?v J7,??u?h???[?v J8,???xFB J1,???xFB J2,???xFB J3,???xFB J4,???xFB J5,???xFB J6,???xFB J7,???xFB J8,?d???d?? 1,?d???d?? 2,?d???d?? 3,?d???d?? 4,?d???d?? 5,?d???d?? 6,?d???d?? 7,?d???d?? 8,????x?? J1,????x?? J2,????x?? J3,????x?? J4,????x?? J5,????x?? J6,????x?? J7,????x?? J8,?G???R?[?_???x J1,?G???R?[?_???x J2,?G???R?[?_???x J3,?G???R?[?_???x J4,?G???R?[?_???x J5,?G???R?[?_???x J6,?G???R?[?_???x J7,?G???R?[?_???x J8,?d???w?? J1,?d???w?? J2,?d???w?? J3,?d???w?? J4,?d???w?? J5,?d???w?? J6,?d???w?? J7,?d???w?? J8,???e?w??v???X J1,???e?w??v???X J2,???e?w??v???X J3,???e?w??v???X J4,???e?w??v???X J5,???e?w??v???X J6,???e?w??v???X J7,???e?w??v???X J8,???e?w??}?C?i?X J1,???e?w??}?C?i?X J2,???e?w??}?C?i?X J3,???e?w??}?C?i?X J4,???e?w??}?C?i?X J5,???e?w??}?C?i?X J6,???e?w??}?C?i?X J7,???e?w??}?C?i?X J8,?c?[??????_???x(FB),?c????(FB),?c?[??????_???x(?w??l),?c????(?w??l),?w???u??FB??u?????,???B??(?w??l),???????(?w??l),?X?e?b?v???,?v???O??????,?R???g???[????????x,????
-,-,-,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,Pulse,Pulse,Pulse,Pulse,Pulse,Pulse,Pulse,Pulse,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm/deg,mm/deg,,,Pulse,Pulse,Pulse,Pulse,Pulse,Pulse,Pulse,Pulse,rpm,rpm,rpm,rpm,rpm,rpm,rpm,rpm,V,V,V,V,V,V,V,V,%,%,%,%,%,%,%,%,deg C,deg C,deg C,deg C,deg C,deg C,deg C,deg C,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,mm/s,mm,mm/s,mm,mm,%,,,,deg C,
0.0,0,0,-0.090,0.090,-0.120,0.010,0.000,0.000,0.000,0.000,2.150,0.650,0.130,0.070,0.000,0.000,0.000,0.000,2.160,1.090,0.140,0.120,0.000,0.000,0.000,0.000,48.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,48.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,-704670,4128028,2438380,-773572,0,0,0,0,-19.355,113.380,100.000,-94.025,0.000,0.000,0.000,0.000,200.000,100.000,100.000,0.000,0.000,-0.000,0.000,0.000,0,0,-10,6,-1,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.090,0.090,-0.120,0.010,0.000,0.000,0.000,0.000,3.410,2.230,2.500,1.250,0.000,0.000,0.000,0.000,-3.410,-2.230,-2.500,-1.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,4,ANALYS,0,0
5032.0,0,0,0.000,0.000,-0.120,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.120,0.010,0.000,0.000,0.000,0.000,2.160,1.090,0.140,0.120,0.000,0.000,0.000,0.000,48.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,48.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,-704681,4128033,2438380,-773572,0,0,0,0,-19.355,113.380,100.000,-94.025,0.000,0.000,0.000,0.000,200.000,100.000,100.000,0.000,0.000,-0.000,0.000,0.000,0,0,0,1,-1,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,-0.120,0.010,0.000,0.000,0.000,0.000,3.410,2.230,2.500,1.250,0.000,0.000,0.000,0.000,-3.410,-2.230,-2.500,-1.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,4,ANALYS,0,0
10094.0,0,0,-1.110,0.550,-0.110,0.060,0.000,0.000,0.000,0.000,2.150,0.650,0.130,0.070,0.000,0.000,0.000,0.000,2.160,1.090,0.140,0.120,0.000,0.000,0.000,0.000,48.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,48.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,543128,3334276,2451352,-876174,0,0,0,0,-6.434,105.161,100.000,-98.727,0.000,0.000,0.000,0.000,197.032,147.760,100.000,0.000,0.000,0.000,0.000,0.000,0,0,-777390,494515,8081,63921,0,0,0,0,-3280.000,2086.000,34.000,269.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.110,0.550,-0.110,0.060,0.000,0.000,0.000,0.000,3.410,2.230,2.500,1.250,0.000,0.000,0.000,0.000,-3.410,-2.230,-2.500,-1.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,3,ANALYS,0,0
15125.0,0,0,0.000,0.000,-0.120,0.010,0.000,0.000,0.000,0.000,1.680,0.650,0.120,0.060,0.000,0.000,0.000,0.000,2.160,1.090,0.140,0.120,0.000,0.000,0.000,0.000,48.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,49.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,-704681,4128033,2438380,-773572,0,0,0,0,-19.355,113.380,100.000,-94.025,0.000,0.000,0.000,0.000,200.000,100.000,100.000,0.000,0.000,-0.000,0.000,0.000,0,0,0,1,-1,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,-0.120,0.010,0.000,0.000,0.000,0.000,3.410,2.230,2.500,1.250,0.000,0.000,0.000,0.000,-3.410,-2.230,-2.500,-1.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,4,ANALYS,0,0
20188.0,0,0,1.920,-0.080,-0.130,-0.030,0.000,0.000,0.000,0.000,2.150,0.650,0.130,0.070,0.000,0.000,0.000,0.000,2.160,1.090,0.140,0.120,0.000,0.000,0.000,0.000,48.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,49.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,-360703,3909224,2441956,-801853,0,0,0,0,6.871,96.697,100.000,-103.568,0.000,0.000,0.000,0.000,182.329,197.034,100.000,0.000,0.000,0.000,0.000,0.000,0,0,610868,-388586,-6351,-50231,0,0,0,0,1970.000,-1253.000,-20.000,-162.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.920,-0.080,-0.130,-0.030,0.000,0.000,0.000,0.000,3.410,2.230,2.500,1.250,0.000,0.000,0.000,0.000,-3.410,-2.230,-2.500,-1.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,5,ANALYS,0,0
25219.0,0,0,-0.090,0.090,-0.120,0.040,0.000,0.000,0.000,0.000,2.150,0.650,0.130,0.070,0.000,0.000,0.000,0.000,2.160,1.090,0.140,0.120,0.000,0.000,0.000,0.000,49.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,49.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,-704664,4128023,2438380,-773572,0,0,0,0,-19.355,113.380,100.000,-94.025,0.000,0.000,0.000,0.000,200.000,100.000,100.000,0.000,0.000,-0.000,0.000,0.000,0,0,-17,11,-1,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.090,0.090,-0.120,0.040,0.000,0.000,0.000,0.000,3.410,2.230,2.500,1.250,0.000,0.000,0.000,0.000,-3.410,-2.230,-2.500,-1.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,4,ANALYS,0,0
30282.0,0,0,0.000,0.000,-0.120,0.010,0.000,0.000,0.000,0.000,2.150,0.650,0.130,0.070,0.000,0.000,0.000,0.000,2.160,1.090,0.140,0.120,0.000,0.000,0.000,0.000,48.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,49.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,-704681,4128033,2438380,-773572,0,0,0,0,-19.355,113.380,100.000,-94.025,0.000,0.000,0.000,0.000,200.000,100.000,100.000,0.000,0.000,-0.000,0.000,0.000,0,0,0,1,-1,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,-0.120,0.010,0.000,0.000,0.000,0.000,3.410,2.230,2.500,1.250,0.000,0.000,0.000,0.000,-3.410,-2.230,-2.500,-1.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,4,ANALYS,0,0
35313.0,0,0,-1.880,0.320,-0.110,0.070,0.000,0.000,0.000,0.000,2.140,0.320,0.130,0.070,0.000,0.000,0.000,0.000,2.160,1.090,0.140,0.120,0.000,0.000,0.000,0.000,49.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,49.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,742430,3207495,2453426,-892562,0,0,0,0,-1.094,101.764,100.000,-100.670,0.000,0.000,0.000,0.000,192.557,167.679,100.000,0.000,0.000,0.000,0.000,0.000,0,0,-782252,497609,8133,64322,0,0,0,0,-2949.000,1876.000,30.000,242.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.680,0.400,-0.110,0.060,0.000,0.000,0.000,0.000,3.410,2.230,2.500,1.250,0.000,0.000,0.000,0.000,-3.410,-2.230,-2.500,-1.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,3,ANALYS,0,0
40438.0,0,0,0.000,0.000,-0.120,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.120,0.010,0.000,0.000,0.000,0.000,2.160,1.090,0.140,0.120,0.000,0.000,0.000,0.000,48.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,49.000,7.000,6.000,0.000,0.000,0.000,0.000,0.000,-704681,4128033,2438380,-773572,0,0,0,0,-19.355,113.380,100.000,-94.025,0.000,0.000,0.000,0.000,200.000,100.000,100.000,0.000,0.000,-0.000,0.000,0.000,0,0,0,1,-1,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,-0.120,0.010,0.000,0.000,0.000,0.000,3.410,2.230,2.500,1.250,0.000,0.000,0.000,0.000,-3.410,-2.230,-2.500,-1.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,4,ANALYS,0,0
